timestamp,src_ip,dest_ip,ioc_hits,ml_score
2025-12-29T00:30:38.398384+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.398524+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.421491+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.421555+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.575740+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.575865+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.576115+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.598747+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.601437+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.602458+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.602850+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.606385+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:30:38.606390+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:30:38.625343+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.651188+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.651671+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.678217+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.672480+0200,142.250.180.142,10.0.2.15,1,1.0
2025-12-29T00:30:38.698458+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.698465+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.673173+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:38.678222+0200,142.250.180.142,10.0.2.15,1,1.0
2025-12-29T00:30:38.678222+0200,142.250.180.142,10.0.2.15,1,1.0
2025-12-29T00:30:38.700655+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:30:38.678223+0200,142.250.180.142,10.0.2.15,1,1.0
2025-12-29T00:30:38.762062+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.765312+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.769730+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.773278+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.788408+0200,142.251.140.99,10.0.2.15,1,1.0
2025-12-29T00:30:38.832725+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:38.862403+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:30:40.572664+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:40.574345+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:40.615618+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:40.616191+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:40.631178+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:40.637773+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:30:45.213763+0200,10.0.2.15,142.251.31.84,1,1.0
2025-12-29T00:30:45.213890+0200,10.0.2.15,142.251.141.234,1,1.0
2025-12-29T00:30:46.208920+0200,10.0.2.15,142.251.141.225,1,1.0
2025-12-29T00:30:47.204374+0200,10.0.2.15,216.58.204.227,1,1.0
2025-12-29T00:30:50.200653+0200,10.0.2.15,216.58.204.138,1,1.0
2025-12-29T00:30:50.202800+0200,10.0.2.15,142.251.141.238,1,1.0
2025-12-29T00:30:51.198710+0200,10.0.2.15,142.250.180.170,1,1.0
2025-12-29T00:30:51.199117+0200,10.0.2.15,142.251.140.101,1,1.0
2025-12-29T00:30:52.197422+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:30:55.185628+0200,10.0.2.15,142.251.140.101,1,1.0
2025-12-29T00:30:55.185761+0200,10.0.2.15,216.58.204.142,1,1.0
2025-12-29T00:31:01.068018+0200,10.0.2.15,13.107.213.43,1,1.0
2025-12-29T00:31:01.068220+0200,10.0.2.15,146.75.53.91,1,1.0
2025-12-29T00:31:01.068235+0200,10.0.2.15,142.251.141.229,1,1.0
2025-12-29T00:31:01.071570+0200,10.0.2.15,34.160.144.191,1,1.0
2025-12-29T00:31:01.071618+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:31:01.071626+0200,10.0.2.15,142.250.181.163,1,1.0
2025-12-29T00:31:01.071632+0200,10.0.2.15,142.250.180.142,1,1.0
2025-12-29T00:31:01.071645+0200,10.0.2.15,74.125.193.84,1,1.0
2025-12-29T00:31:01.083004+0200,10.0.2.15,216.58.209.35,1,1.0
2025-12-29T00:31:01.083051+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083059+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083063+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083068+0200,10.0.2.15,192.168.1.1,2,1.0
2025-12-29T00:31:01.083071+0200,10.0.2.15,142.251.141.229,1,1.0
2025-12-29T00:31:01.083076+0200,10.0.2.15,142.251.140.99,1,1.0
2025-12-29T00:31:01.083090+0200,10.0.2.15,192.168.1.1,2,1.0
